X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
 -73.987357,40.692321,,2019/10/15 14:22:51+00,,,10:22:51 AM,,15 Oct 2019 at 10:22:51 AM,,,,,,,,,,,,,,,,
-73.987195,40.692312,,2019/10/15 14:24:37+00,,,10:24:37 AM,,15 Oct 2019 at 10:24:37 AM,,,,,,,,,,,,,,,,
-73.987156,40.692821,,2019/10/15 14:24:37+00,,,10:24:37 AM,,15 Oct 2019 at 10:24:37 AM,,,,,,,,,,,,,,,,
-73.987127,40.693386,,2019/10/15 14:25:11+00,,,10:25:11 AM,,15 Oct 2019 at 10:25:11 AM,,,,,,,,,,,,,,,,
-73.987112,40.693602,,2019/10/15 14:25:39+00,,,10:25:39 AM,,15 Oct 2019 at 10:25:39 AM,,,,,,,,,,,,,,,,
-73.98687,40.69369,,2019/10/15 14:26:04+00,,,10:26:04 AM,,15 Oct 2019 at 10:26:04 AM,,,,,,,,,,,,,,,,
-73.986162,40.693802,,2019/10/15 14:27:02+00,,,10:27:02 AM,,15 Oct 2019 at 10:27:02 AM,,,,,,,,,,,,,,,,
-73.98616,40.69354,,2019/10/15 14:27:38+00,,,10:27:38 AM,,15 Oct 2019 at 10:27:38 AM,,,,,,,,,,,,,,,,
-73.98598,40.693505,,2019/10/15 14:29:32+00,,,10:29:32 AM,,15 Oct 2019 at 10:29:32 AM,,,,,,,,,,,,,,,,
